gender;Gender;Гендер
gender_rooms;Separation of rooms by gender;Розподіл кімнат за статтю
general_meetings;general meetings;
generators;generators;
hh_evicted;Eviction cases (over 1 month before data collection);Випадки виселення (за 1 місяць до збору даних)
hhs_number;No. of HHs hosted in the site;Кількість домогосподарств, розміщених в МКП
hot_water_available;Availabitity of hot water in this site;Наявність гарячої води на цій ділянці
hot_water_source;Source of hot water supply ;Джерело гарячого водопостачання 
hromada;Hromada;
hromada_name;Hromada;Громада
hum_assist;Has this center received any humanitarian assistance last 7 days? ;Чи отримував цей центр гуманітарну допомогу протягом останніх 7 днів? 
hum_assist_type;Type of the humanitarian assistance received  over last 7 days;Тип гуманітарної допомоги, отриманої за останні 7 днів
hygiene_items_type;Types of hygiene items needed;Типи необхідних засобів гігієни
idp_charged;IDPs are being charged to stay at the site;Перебування ВПО в МКП є платним
idp_groups;Destination planned (among those who plan to move);Запланований пункт призначення (серед тих, хто планує переїхати)
idp_move;Proportion of IDPs planning to move/ leave within 2 weeks;Частка ВПО, які планують переїхати/виїхати протягом 2 тижнів
individuals_female_over_18;No. of female 18+;Кількість жінок віком від 18 років
individuals_male_over_18;No. of male 18+;Кількість чоловіків 18+
info_accomodation;Availability of information about accommodation options outside of the site;Наявність інформації про варіанти проживання за межами центру
info_desk;Availability of help and information desk for residents;Наявність довідково-інформаційного пункту для мешканців
info_edu;Availability of information about education ;Наявність інформації про освіту 
info_employment;Availability of information about employment opportunities ;Наявність інформації про можливості працевлаштування 
info_explosive;Availability of information about Explosive Ordinance Risk Education ;Наявність інформації про інформування про ризики, пов'язані з вибухонебезпечними предметами 
info_gov_programs;Availability of information about governmental programs and local programs providing cash or in-kind support ;Наявність інформації про державні програми та місцеві програми, що надають грошову або натуральну допомогу 
info_idp_reg;Availability of information about the IDPs registration (state level);Наявність інформації про реєстрацію ВПО (на державному рівні)
info_legal;Availability of information about legal aid ;Наявність інформації про правову допомогу 
info_medical;Availability of information about medical support;Наявність інформації про медичну допомогу
info_psea;Availability of information about PSEA ;Наявність інформації про PSEA 
info_state_programs;Availability of information about the state programs for the site residents;Наявність інформації про державні програми для мешканців МКП
information_about_police;Information about police;
informed_consent;Informed consent;
interview_type;Interview type;
kitchen_availability;Kitchen for residents available;Наявність кухні для мешканців
kitchen_cleaner;Current mode of common kitchen cleaning ;Поточний режим прибирання спільної кухні 
kitchen_enmities;Sufficiency of kitchen equipments available ;Достатність наявного кухонного обладнання 
kitchen_has_hot_water;Kitchen has hot water;
kitchen_support;Kitchen support;
known_pss;Awareness of residents how to access PSS services;Поінформованість мешканців про те, як отримати доступ до послуг ВСС
latitude;Latitude;Широта
legal_assistance;Legal assistance;
lockers;Lockers to store belongings available ;Наявність шафок для зберігання речей 
longitude;Longitude;Довгота
medical_problems;Medical problems;
medicine;Medicine;
minority_groups_number;No. of minority groups (such as Roma);Кількість представників меншин (наприклад, ромів)
mobile_signal;Mobile network signal strength;Рівень сигналу мобільного зв'язку
mode_of_education;Mode of education;
need_clothing;Need clothing;
need_rehabilitation;Rehabilitation, small construction or earthworks needs ;Потреби у відновленні, невеликому будівництві або земляних роботах 
ngo_arrangement_of_a_bomb_shelter;NGO arrangement of a bomb shelter;
ngo_cash_assistance;NGO cash assistance;
ngo_cleaning_materials;NGO cleaning materials;
ngo_communications_equipment;NGO communications equipment;
ngo_disinfection_site_s_premises;NGO disinfection site s premises;
ngo_electric_heater;NGO electric heater;
ngo_food_products;NGO food products;
ngo_generators;NGO generators;
ngo_hygiene_items;NGO hygiene items;
ngo_kitchen_support;NGO kitchen support;
ngo_legal_assistance;NGO legal assistance;
ngo_medicine;NGO medicine;
ngo_other_hum_assist;NGO other hum assist;
ngo_provision_of_information;NGO provision of information;
ngo_psychosocial_support;NGO psychosocial support;
ngo_recreational_activities;NGO recreational activities;
ngo_site_repairs_non_wash;NGO site repairs non wash;
ngo_sleeping_items;NGO sleeping items;
ngo_solid_fuel_for_heating;NGO solid fuel for heating;
ngo_specialized_support_to_pwd_or_older_people;NGO specialized support to pwd or older people;
ngo_support_for_utility_payments;NGO support for utility payments;
ngo_transportation;NGO transportation;
ngo_wash_repairs;NGO wash repairs;
ngo_washing_drying_machines;NGO washing drying machines;
non_governmental_organization;Non governmental organization;
number_primary_healthcare;No. of primary healthcare facilities existing within 1 hour;Кількість закладів первинної медичної допомоги в межах 1 години
number_secondary_healthcare;No. of secondary healthcare facilities existing within 1 hour;Кількість закладів вторинної медичної допомоги в межах 1 години
number_showers;Sufficiency of showers/baths for the current level of occupation;Достатність душових/лазень для поточного рівня зайнятості
number_toilets;Sufficiency of functioning toilets for the current level of occupation;Достатність функціонуючих туалетів для поточного рівня зайнятості
oblast_name;Oblast name;
often_cleaned;Frequency of cleaning communal spaces;Частота прибирання місць загального користування
older_men_number;No. of older men (60+);Кількість літніх чоловіків (60+)
older_people_that_require_caragiver_support_number;Older people that require caragiver support number;
older_women_number;No. of older women (60+);Кількість жінок старшого віку (60+)
organization;Organization/authority responsible for the site;Організація, відповідальна за МКП
organization;Name of the organization/authority responsible;Назва організації, відповідальної за МКП
organizations_provide_food;Organisations providing food services for the site;Організації, що надають послуги з харчування на території МКП
organizations_provide_food_international_ngo;International NGOs providing food services for the site;Міжнародні НУО, що надають продовольчі послуги на території МКП
organizations_provide_food_local_ngo;Local NGOs providing food services for the site;Місцеві НУО, що надають послуги з харчування на території МКП
organizations_provide_health;Organisations providing health services for the site;Організації, що надають медичні послуги на території МКП
organizations_provide_health_international_ngo;International NGOs providing health services for the site;Міжнародні неурядові організації, що надають медичні послуги на території МКП
organizations_provide_health_local_ngo;Local NGOs providing health services for the site;Місцеві НУО, що надають медичні послуги на території центру
organizations_provide_info;Organisations providing information and communication services ;Організації, що надають інформаційно-комунікаційні послуги на території МКП
organizations_provide_info_international_ngo;International NGOs providing information and communication services;Міжнародні НУО, що надають інформаційно-комунікаційні послуги на території МКП
organizations_provide_info_local_ngo;Local NGOs providing information and communication services for the site;Місцеві НУО, що надають інформаційно-комунікаційні послуги на території МКП
organizations_provide_nfi;Organisations providing NFIs for the site;Організації, що надають нефінансову допомогу на території МКП
organizations_provide_nfi_international_ngo;International NGOs providing NFIs for the site;Міжнародні НУО, що надають нефінансову допомогу на території МКП
organizations_provide_nfi_local_ngo;Local NGOs providing NFIs for the site;Місцеві НУО, що надають негрошові фінансові ресурси на території МКП
organizations_provide_protection;Organisations providing protection services for the site;Організації, що надають послуги захисту для МКП
organizations_provide_protection_international_ngo;International NGOs providing protection services for the site;Міжнародні НУО, що надають послуги захисту на території МКП
organizations_provide_protection_local_ngo;Local NGOs providing protection services for the site;Місцеві НУО, що надають послуги з захисту на території МКП
organizations_provide_shelter;Organisations providing shelter services for the site;Організації, що надають послуги притулку на території МКП
organizations_provide_shelter_international_ngo;International NGOs providing shelter services for the site;Міжнародні НУО, що надають послуги притулку на території МКП
organizations_provide_shelter_local_ngo;Local NGOs providing shelter services for the site;Місцеві НУО, що надають послуги з надання притулку на території МКП
organizations_provide_wash;Orgsanisations providing WASH services;Організації, що надають послуги ВСГ на території МКП
organizations_provide_wash_international_ngo;International NGOs providing WASH services  ;Міжнародні НУО, що надають послуги ВСГ на території МКП
organizations_provide_wash_local_ngo;Local NGOs providing WASH services ;Місцеві НУО, що надають послуги ВСГ на території МКП
other_hum_assist;Other hum assist;
people_can_hosted;Site host maximum capacity;Максимальна місткість МКП, що приймає переселенців
people_with_disabilities;People with disabilities;
playgrounds;Playgrounds or recreational areas for children available ;Наявність ігрових майданчиків або зон відпочинку для дітей 
pregnant_lactating_number;No. of pregnant or lactating mothers;Кількість вагітних або годуючих матерів
prevented_access_education;Prevented access education;
provision_of_information;Provision of information;
psychosocial_support;Psychosocial support;
public_transport;Public transport available in a walking distance (less than 2 km);Громадський транспорт доступний в пішій доступності (менше 2 км)
raion_name;Raion;Район
reachable_by_ambulance;Is the site reachable by ambulance;Чи може швидка допомога дістатися до МКП?
recreational_activities;Recreational activities;
recreational_area;Recreational/common areas for adults available;Наявність рекреаційних/загальних зон для дорослих
referral_system;Referral protection system ;Система перенаправлення та захисту 
request_for_compensation;Request for compensation;
resolution_cmu_261;Resolution cmu 261;
responsible;Organization/authority responsible for the site;Організація, відповідальна за МКП
rooms_independent;No. of rooms to accommodate HHs separately;Кількість кімнат для окремого розміщення ПГС
round;Round;
settlement;Settlement;Населений пункт
settlement_documents;Settlement documents;
settlement_name;Settlement;Населений пункт
shelter_issues_infrastructure;Shelter issues (infrastructure condition);Питання житла (стан інфраструктури)
shelter_issues_living_conditions;Shelter issues (living conditions);Питання житла (умови проживання)
shower_gender;Separation of bathing facilities by gender;Розділення лазень за статтю
shower_hot_water;Availability of hot water in bathing facilities;Наявність гарячої води в лазнях
site_active;Current status of the site (IDP hosting);Поточний статус МКП (розміщення ВПО)
site_closure;Potential site closure in the nearest future;Потенційне закриття МКП в найближчому майбутньому
site_closure_yes;Reasons for site potential closure ;Причини потенційного закриття МКП
site_individuals;No. of individuals hosted in the site;Кількість осіб, розміщених в МКП
site_name_eng;Site name eng;
site_ownership;Site ownership;Форма власності 
site_repairs_non_wash;Site repairs non wash;
sites_pcode_updated;Sites pcode updated;
sleeping_items_type;Type of sleeping items needed;Тип необхідних спальних речей
social_workers_visit;Social workers visit the site;Соціальні працівники відвідують МКП
social_workers_visit_frequency;Frequency of social workers visits ;Частота візитів соціальних працівників 
solid_fuel_for_heating;Solid fuel for heating;
specialized_support_to_pwd_or_older_people;Specialized support to pwd or older people;
stay_long;Usual lenght of stay;Середня тривалість перебування
support_for_utility_payments;Support for utility payments;
time_bank;Average time to reach the nearest bank;Середній час до найближчого банку
time_healthcare;Average time to reach the nearest healthcare facility;Середній час дороги до найближчого закладу охорони здоров'я
time_pension_facility;Average time to reach the nearest Pension Fund;Середній час, необхідний для того, щоб дістатися до найближчого Пенсійного фонду
toilet_gender;Separation of toilets by gender;Поділ туалетів за статтю
transportation;Transportation;
travel_foot_store;% of households that need to walk more than 1 hour to reach the nearest marketplace or grocery store;% домогосподарств, яким потрібно йти пішки більше 1 години, щоб дістатися до найближчого ринку або продуктового магазину
types_of_clothing;Types of clothing;
unaccompanied_children;Presence of unaccompanied children ;Наявність дітей без супроводу дорослих 
urgent_need_all;Urgent needs of the site according the site managers;Нагальні потреби МКП на думку керівництва 
urgent_need_top_3;;
utensils;Need in cooking and eating utensils ;Потреба у кухонному та побутовому приладді 
utensils_type;Type of cooking and eating utensils needed ;Тип необхідного посуду для приготування та вживання їжі 
vulnerable;Vulnerable groups;Вразливі групи населення
walking_tsnap;Administrative services centres distant less than 2km away;Адміністративні центри (ЦНАПИ) менш ніж за 2 км. від МКП
wash_repairs;Wash repairs;
washing_drying_machines;Washing drying machines;
washing_machines;Availability and accessibility of washing machines ;Наявність та доступність пральних машин 
washing_machines_capacity;Capacity of washing mashines:;Потужність пральних машин:
waste_disposal_capacity;Sufficiency of waste disposal capacity ;Достатність потужностей для утилізації відходів 
wifi_connection;Wifi connection available;Наявність Wifi з'єднання
wifi_free;Type of Wifi connection;Тип Wifi з'єднання
with_health_issues_number;No. of persons with serious medical conditions;Кількість осіб із серйозними захворюваннями
without_nationality_number;No. of people without nationality;Кількість осіб без громадянства
site_id;Site unique identifier;Унікальний ідентифікатор МКП
site_type;Site type;Тип МКП
strata;Oblast ;Область 
